question,sql
What was the average runs scored by Pune Warriors in 2009?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2009' GROUP BY m.season, t.team_name;"
What was the average runs scored by Pune Warriors in 2010?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2010' GROUP BY m.season, t.team_name;"
What was the average runs scored by Pune Warriors in 2011?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2011' GROUP BY m.season, t.team_name;"
What was the average runs scored by Pune Warriors in 2012?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2012' GROUP BY m.season, t.team_name;"
What was the average runs scored by Pune Warriors in 2013?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2013' GROUP BY m.season, t.team_name;"
What was the average runs scored by Pune Warriors in 2014?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2014' GROUP BY m.season, t.team_name;"
What was the average runs scored by Pune Warriors in 2015?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2015' GROUP BY m.season, t.team_name;"
What was the average runs scored by Pune Warriors in 2016?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Pune Warriors' AND m.season = '2016' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2008?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2008' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2017?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2017' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2018?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2018' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2019?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2019' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2020/21?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2020/21' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2021?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2021' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2022?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2022' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2023?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2023' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2024?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2024' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2025?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2025' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2009?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2009' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2010?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2010' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2011?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2011' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2012?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2012' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2013?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2013' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2014?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2014' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2015?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2015' GROUP BY m.season, t.team_name;"
What was the average runs scored by Rising Pune Supergiants in 2016?,"SELECT m.season, t.team_name, ROUND(AVG(CAST(m.win_by_runs AS FLOAT)), 2) as avg_runs FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND m.win_by_runs IS NOT NULL AND t.team_name = 'Rising Pune Supergiants' AND m.season = '2016' GROUP BY m.season, t.team_name;"
How many teams chose to bat after winning the toss in 2008?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2008' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2008?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2008' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2017?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2017' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2017?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2017' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2018?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2018' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2018?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2018' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2019?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2019' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2019?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2019' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2020/21?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2020/21' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2020/21?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2020/21' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2021?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2021' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2021?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2021' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2022?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2022' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2022?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2022' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2023?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2023' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2023?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2023' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2024?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2024' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2024?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2024' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2025?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2025' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2025?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2025' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2009?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2009' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2009?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2009' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2010?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2010' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2010?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2010' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2011?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2011' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2011?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2011' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2012?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2012' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2012?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2012' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2013?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2013' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2013?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2013' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2014?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2014' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2014?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2014' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2015?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2015' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2015?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2015' GROUP BY toss_decision;"
How many teams chose to bat after winning the toss in 2016?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'bat' AND season = '2016' GROUP BY toss_decision;"
How many teams chose to field after winning the toss in 2016?,"SELECT toss_decision, COUNT(*) as count FROM matches WHERE toss_decision = 'field' AND season = '2016' GROUP BY toss_decision;"
How many matches were won by wickets in 2008?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2008';
How many matches were won by wickets in 2017?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2017';
How many matches were won by wickets in 2018?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2018';
How many matches were won by wickets in 2019?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2019';
How many matches were won by wickets in 2020/21?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2020/21';
How many matches were won by wickets in 2021?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2021';
How many matches were won by wickets in 2022?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2022';
How many matches were won by wickets in 2023?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2023';
How many matches were won by wickets in 2024?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2024';
How many matches were won by wickets in 2025?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2025';
How many matches were won by wickets in 2009?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2009';
How many matches were won by wickets in 2010?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2010';
How many matches were won by wickets in 2011?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2011';
How many matches were won by wickets in 2012?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2012';
How many matches were won by wickets in 2013?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2013';
How many matches were won by wickets in 2014?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2014';
How many matches were won by wickets in 2015?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2015';
How many matches were won by wickets in 2016?,SELECT COUNT(*) as wicket_wins FROM matches WHERE result = 'win' AND win_by_wickets > 0 AND season = '2016';
How many times was 46.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '46.0' GROUP BY player_of_match;"
How many times was 15.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '15.0' GROUP BY player_of_match;"
How many times was 36.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '36.0' GROUP BY player_of_match;"
How many times was 57.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '57.0' GROUP BY player_of_match;"
How many times was 71.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '71.0' GROUP BY player_of_match;"
How many times was 4.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '4.0' GROUP BY player_of_match;"
How many times was 22.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '22.0' GROUP BY player_of_match;"
How many times was 26.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '26.0' GROUP BY player_of_match;"
How many times was 70.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '70.0' GROUP BY player_of_match;"
How many times was 180.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '180.0' GROUP BY player_of_match;"
How many times was 33.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '33.0' GROUP BY player_of_match;"
How many times was 65.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '65.0' GROUP BY player_of_match;"
How many times was 29.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '29.0' GROUP BY player_of_match;"
How many times was 351.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '351.0' GROUP BY player_of_match;"
How many times was 58.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '58.0' GROUP BY player_of_match;"
How many times was 258.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '258.0' GROUP BY player_of_match;"
How many times was 37.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '37.0' GROUP BY player_of_match;"
How many times was 471.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '471.0' GROUP BY player_of_match;"
How many times was 20.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '20.0' GROUP BY player_of_match;"
How many times was 1.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1.0' GROUP BY player_of_match;"
How many times was 531.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '531.0' GROUP BY player_of_match;"
How many times was 24.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '24.0' GROUP BY player_of_match;"
How many times was 47.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '47.0' GROUP BY player_of_match;"
How many times was 32.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '32.0' GROUP BY player_of_match;"
How many times was 38.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '38.0' GROUP BY player_of_match;"
How many times was 67.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '67.0' GROUP BY player_of_match;"
How many times was 56.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '56.0' GROUP BY player_of_match;"
How many times was 361.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '361.0' GROUP BY player_of_match;"
How many times was 28.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '28.0' GROUP BY player_of_match;"
How many times was 76.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '76.0' GROUP BY player_of_match;"
How many times was 12.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '12.0' GROUP BY player_of_match;"
How many times was 25.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '25.0' GROUP BY player_of_match;"
How many times was 460.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '460.0' GROUP BY player_of_match;"
How many times was 268.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '268.0' GROUP BY player_of_match;"
How many times was 181.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '181.0' GROUP BY player_of_match;"
How many times was 438.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '438.0' GROUP BY player_of_match;"
How many times was 1035.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1035.0' GROUP BY player_of_match;"
How many times was 50.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '50.0' GROUP BY player_of_match;"
How many times was 13.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '13.0' GROUP BY player_of_match;"
How many times was 75.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '75.0' GROUP BY player_of_match;"
How many times was 389.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '389.0' GROUP BY player_of_match;"
How many times was 69.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '69.0' GROUP BY player_of_match;"
How many times was 179.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '179.0' GROUP BY player_of_match;"
How many times was 538.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '538.0' GROUP BY player_of_match;"
How many times was 27.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '27.0' GROUP BY player_of_match;"
How many times was 1285.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1285.0' GROUP BY player_of_match;"
How many times was 613.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '613.0' GROUP BY player_of_match;"
How many times was 676.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '676.0' GROUP BY player_of_match;"
How many times was 1393.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1393.0' GROUP BY player_of_match;"
How many times was 1409.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1409.0' GROUP BY player_of_match;"
How many times was 178.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '178.0' GROUP BY player_of_match;"
How many times was 318.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '318.0' GROUP BY player_of_match;"
How many times was 45.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '45.0' GROUP BY player_of_match;"
How many times was 176.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '176.0' GROUP BY player_of_match;"
How many times was 5.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '5.0' GROUP BY player_of_match;"
How many times was 245.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '245.0' GROUP BY player_of_match;"
How many times was 1833.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1833.0' GROUP BY player_of_match;"
How many times was 219.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '219.0' GROUP BY player_of_match;"
How many times was 31.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '31.0' GROUP BY player_of_match;"
How many times was 61.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '61.0' GROUP BY player_of_match;"
How many times was 348.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '348.0' GROUP BY player_of_match;"
How many times was 30.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '30.0' GROUP BY player_of_match;"
How many times was 1419.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1419.0' GROUP BY player_of_match;"
How many times was 347.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '347.0' GROUP BY player_of_match;"
How many times was 64.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '64.0' GROUP BY player_of_match;"
How many times was 1449.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '1449.0' GROUP BY player_of_match;"
How many times was 185.0 awarded player of the match?,"SELECT player_of_match, COUNT(*) as awards FROM matches WHERE player_of_match = '185.0' GROUP BY player_of_match;"
